NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	OR1F1	4785	0.5363865494728088	-0.2789036	No	
row_1	OR1D2	5694	0.3728513717651367	-0.326265	No	
row_2	OR2L2	11053	-0.691295862197876	-0.6367061	No	
row_3	OR5A2	11120	-0.7084782123565674	-0.62616444	No	
row_4	OR10A2	11137	-0.7140609622001648	-0.6124788	No	
row_5	OR14J1	11549	-0.8210486173629761	-0.62052953	No	
row_6	OR5AU1	12183	-0.9930657744407654	-0.63850033	Yes	
row_7	OR1A1	12513	-1.1018590927124023	-0.6358197	Yes	
row_8	OR2A5	12823	-1.2125048637390137	-0.62965643	Yes	
row_9	OR6Y1	13119	-1.3173593282699585	-0.62049294	Yes	
row_10	OR10K1	13248	-1.3696829080581665	-0.6001375	Yes	
row_11	OR52K1	13744	-1.5664169788360596	-0.59798	Yes	
row_12	OR10H5	13751	-1.5691338777542114	-0.5661394	Yes	
row_13	OR6J1	14065	-1.7037580013275146	-0.5501362	Yes	
row_14	OR6C74	14089	-1.715232491493225	-0.51632714	Yes	
row_15	OR2AT4	14162	-1.7521148920059204	-0.48472992	Yes	
row_16	OR8A1	14324	-1.8240951299667358	-0.4570477	Yes	
row_17	OR56A4	14527	-1.9165849685668945	-0.42995134	Yes	
row_18	OR10H1	14659	-1.986557126045227	-0.3971172	Yes	
row_19	OR2M3	14745	-2.0337092876434326	-0.3605283	Yes	
row_20	OR7D2	14945	-2.1646728515625	-0.32815856	Yes	
row_21	OR2G6	15002	-2.1944327354431152	-0.286514	Yes	
row_22	OR7C1	15126	-2.285015821456909	-0.24706975	Yes	
row_23	OR2T12	15208	-2.350083589553833	-0.20374538	Yes	
row_24	OR1I1	15232	-2.366649866104126	-0.15656693	Yes	
row_25	OR5AS1	15518	-2.587205410003662	-0.120735876	Yes	
row_26	OR4K17	15798	-2.8517367839813232	-0.07911219	Yes	
row_27	OR4D9	15908	-2.960594654083252	-0.024954446	Yes	
row_28	OR7A17	15967	-3.0580103397369385	0.034292582	Yes	
